"titulo","cdd","Criado_por","Observação","Tipo","Enviado para SIBI","Normalizado","Remissiva"
"Aulu Gelle v. Gelio, Aulo","","","VER Gelio, Aulo","","","",""
"Aurelius Augustinus v. AGOSTINHO, Santo","","fflch","","Autor","","",""
"AUSONIO, poeta latino (c.310-c.395)","879","fflch","","Autor","","",""
"AUSTEN, Jane (1775-1817)","823 A951","","","Autor","","",""
"Australásia","919","fflch","","Assunto","","",""
"Austrália","919.4","fflch","","Assunto","","",""
"Áustria","914.36","fflch","","Assunto","","",""
"AUTOBIOGRAFIAS, BIOGRAFIAS E MEMORIAS","920","","","","","",""
"AUTOCONSTRUÇÃO","363.51","fflch","","Assunto","","",""
"AUTOCRACIA","321.6","fflch","","Assunto","","",""
"AUTORIDADE POLÍTICA","321324 (*)","fflch","","Assunto","","",""
"AUTORITARISMO (Sistema de governo)","321.9","fflch","","Assunto","","",""
"AVALANCHES","551.57848","fflch","","Assunto","","",""
"AVANT-GARDE (Artes)","700.411","fflch","","Assunto","","",""
"AVERROES, filósofo e físico árabe (1126-1198)","189.3 A953","fflch","","Autor","","",""
"AVICENNA, filósofo e médico persa (980-1037) = IBN SIÑA","181.947","fflch","","Autor","","","Avicena"
"AXIOLOGIA","121.8","fflch","","Assunto","","",""
"AXIOMA","160","fflch","","Assunto","","",""
"AYACUCHO (Coleção)","860^A976^v.","fflch","","Coleção","","",""
"Azerbaijão","914.754","fflch","","Assunto","","",""
"AZEVEDO, ALUISIO","869.9345","","","","","",""
"AZEVEDO, ARTHUR N. G. B. DE. 1855-1908","869.9145","","","","","",""
"AZEVEDO, ARTHUR. 1855-1908","869.9245","","","","","",""
"BABRIUS, fabulista grego (séc III)","881.4","fflch","","Autor","","",""
"BACHELARD, Gaston, filósofo francês (1884-1962)","194","fflch","","Autor","","",""
"Bacia fluvial v. BACIA HIDROGRÁFICA","","fflch","","Assunto","","",""
"BACIA HIDROGRÁFICA","551.483","fflch","","Assunto","","",""
"BACON, Francis, filósofo e chanceler inglês (1561-1626)","192.1 B128","fflch","","Autor","","",""
"Bacon, Roger (1214-1294)","189.4 B129","2508542","","","","",""
"Badiou, Alain  (1937-)","194 B136","2508542","","","","",""
"Bahia","918.142","","","Assunto","","",""
"Bahrein","915.365","fflch","","Assunto","","",""
"Baia de Bengala","910.0216564","","","Assunto","","",""
"BAIRROS (SÃO PAULO)","918.161","7096021","","Assunto","","Normalizado",""
